Job Title,Salary Estimate,Rating,Location,Size,Type of ownership,Industry,Sector,job_state,company_age,python,spark,tableau
Sr Data Scientist,137-171 ,3.1,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance, NY,27,0,0,0
Data Scientist,137-171 ,4.2,"Chantilly, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services, VA,52,0,0,0
Data Scientist,137-171 ,3.8,"Boston, MA",1001 to 5000 employees,Private Practice / Firm,Consulting,Business Services, MA,39,1,0,0
Data Scientist,137-171 ,3.5,"Newton, MA",501 to 1000 employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing, MA,20,1,0,0
Data Scientist,137-171 ,2.9,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services, NY,22,1,0,0
Data Scientist,137-171 ,4.2,"Santa Barbara, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, CA,10,1,1,0
Data Scientist / Machine Learning Expert,137-171 ,3.9,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,24,1,0,0
Data Scientist,137-171 ,3.5,"Bedford, MA",1001 to 5000 employees,Company - Public,Consumer Electronics & Appliances Stores,Retail, MA,30,1,0,0
Staff Data Scientist - Analytics,137-171 ,4.4,"San Diego, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology, CA,37,0,0,0
Data Scientist,137-171 ,3.6,"Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, IL,6,1,0,0
Data Scientist,137-171 ,4.5,"Herndon, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, VA,8,1,0,0
Data Scientist,137-171 ,4.7,"Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,Information Technology, MO,4,1,1,0
"Data Scientist - Statistics, Early Career",137-171 ,3.7,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities", WA,55,0,0,0
Data Modeler,137-171 ,3.1,"Northbrook, IL",201 to 500 employees,Company - Private,Chemical Manufacturing,Manufacturing, IL,47,1,0,1
Data Scientist,137-171 ,3.4,"Washington, DC",1001 to 5000 employees,Company - Private,Consulting,Business Services, DC,34,1,0,0
Experienced Data Scientist,137-171 ,4.4,"Washington, DC",1 to 50 employees,Company - Private,Federal Agencies,Government, DC,23,1,1,1
Data Scientist,137-171 ,3.5,"Memphis, TN",1001 to 5000 employees,Company - Private,Chemical Manufacturing,Manufacturing, TN,75,1,0,0
Data Analyst II,137-171 ,4.2,"Plano, TX",5001 to 10000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology, TX,32,0,0,0
Medical Lab Scientist,137-171 ,3.5,"West Grove, PA",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care, PA,3,0,0,0
Data Scientist,137-171 ,3.2,"New York, NY",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, NY,5,0,0,0
Data Scientist/Machine Learning,137-171 ,4.3,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology, NY,9,1,1,0
Human Factors Scientist,137-171 ,3.5,"Phoenix, AZ",1001 to 5000 employees,Company - Public,Consulting,Business Services, AZ,53,0,0,0
Business Intelligence Analyst I- Data Insights,137-171 ,3.5,"Appleton, WI",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance, WI,160,0,0,0
Data Scientist,137-171 ,3.4,"Chicago, IL",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services, IL,28,0,0,0
Data Scientist,137-171 ,4.7,"Atlanta, GA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, GA,17,1,0,0
Data Scientist - Risk,137-171 ,4.2,"Orlando, FL",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance, FL,24,1,1,1
Data Scientist-Human Resources,137-171 ,3.8,"Lexington, MA",1001 to 5000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense, MA,69,1,1,0
Data Scientist,137-171 ,4.5,"McLean, VA",51 to 200 employees,Company - Private,Federal Agencies,Government, VA,15,1,0,1
Data Scientist,137-171 ,2.8,"San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, CA,5,0,1,0
Data Scientist,75-131 ,3.8,"Boston, MA",1001 to 5000 employees,Private Practice / Firm,Consulting,Business Services, MA,39,1,0,0
Data Scientist / Machine Learning Expert,75-131 ,3.9,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,24,1,0,0
Data Scientist,75-131 ,5,"Boston, MA",1 to 50 employees,Company - Private,IT Services,Information Technology, MA,1,1,0,0
Senior Research Statistician- Data Scientist,75-131 ,4.8,"Sheboygan, WI",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance, WI,95,0,0,0
Data Engineer,75-131 ,3.6,United States,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,US,12,0,0,0
Associate Data Scientist,75-131 ,3.3,"Bothell, WA",1001 to 5000 employees,Company - Private,Utilities,"Oil, Gas, Energy & Utilities", WA,21,0,1,0
Business Intelligence Analyst,75-131 ,2.7,"Lincoln, NE",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, NE,42,1,0,1
Data Scientist,75-131 ,2.7,"Overland Park, KS",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care, KS,20,1,0,0
Data Scientist,75-131 ,2.2,"Chantilly, VA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, VA,20,1,1,0
Senior Analyst/Data Scientist,75-131 ,3.4,"Santa Monica, CA",501 to 1000 employees,Company - Private,Internet,Information Technology, CA,54,1,0,1
Data Analyst,75-131 ,3.1,"Boston, MA",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance, MA,47,1,0,0
Machine Learning Engineer,75-131 ,3.4,"Portsmouth, NH",10000+ employees,Company - Private,Insurance Carriers,Insurance, NH,108,1,1,0
Data Analyst I,75-131 ,2.6,"Ewing, NJ",1001 to 5000 employees,Company - Private,,, NJ,62,0,0,0
Scientist - Molecular Biology,75-131 ,5,"South San Francisco, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,1,0,0,0
Data Scientist,75-131 ,4.2,"Palo Alto, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, CA,7,1,0,0
"Computational Scientist, Machine Learning",75-131 ,4.1,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,171,1,0,0
Senior Data Scientist,75-131 ,4.8,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology, MA,8,0,0,0
Data Scientist,75-131 ,3.3,"Bellevue, WA",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance, WA,20,1,0,0
Data Scientist,75-131 ,3.7,"San Francisco, CA",1001 to 5000 employees,Government,Federal Agencies,Government, CA,4,1,0,1
Data Scientist,75-131 ,4.3,"Cambridge, MA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, MA,21,1,0,1
Data Analyst,75-131 ,4.8,"San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services, CA,6,1,0,1
Data Scientist,75-131 ,3.7,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,239,1,1,0
Data Scientist,75-131 ,4,"San Francisco, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, CA,8,1,1,0
E-Commerce Data Analyst,75-131 ,3.5,"New Orleans, LA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, LA,21,0,0,0
Data Analytics Engineer,75-131 ,3.7,"Akron, OH",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care, OH,94,0,0,1
Senior Data Scientist,75-131 ,3.5,"Saint Louis, MO",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MO,8,1,0,0
Product Data Scientist - Ads Data Science,75-131 ,4.1,"San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology, CA,14,1,0,0
Data Scientist,75-131 ,3.2,"San Francisco, CA",1001 to 5000 employees,Company - Private,Express Delivery Services,Transportation & Logistics, CA,9,1,1,0
Data Scientist - Intermediate,75-131 ,4.5,"Saint Louis, MO",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services, MO,26,1,0,0
Data Analyst,75-131 ,3.8,"Fort Wayne, IN",10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance, IN,157,1,0,0
Machine Learning Engineer,75-131 ,4.5,"Woburn, MA",201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense, MA,10,1,0,0
Data Scientist,79-131 ,3.5,"Bedford, MA",1001 to 5000 employees,Company - Public,Consumer Electronics & Appliances Stores,Retail, MA,30,1,0,0
Data Scientist,79-131 ,4.2,"Santa Barbara, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, CA,10,1,1,0
Global Data Analyst,79-131 ,3.8,"Carson, CA",201 to 500 employees,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing, CA,34,0,0,1
Data Engineer,79-131 ,3.7,"Coral Gables, FL",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance, FL,25,1,0,0
Data Scientist,79-131 ,3.7,"New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology, NY,8,1,0,1
Data Scientist,79-131 ,4,"Santa Clara, CA",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, CA,14,1,0,1
Data & Machine Learning Scientist,79-131 ,3.3,"Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, IL,5,1,0,0
Data Scientist - Machine Learning,79-131 ,2.5,"Brisbane, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,-1,1,1,0
Data Engineer (Remote),79-131 ,4.2,"Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services, FL,14,1,1,0
"Data Scientist, Applied Machine Learning - Bay Area",79-131 ,3.3,"Redwood City, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,5,1,0,0
Principal Data Scientist,79-131 ,4,"San Francisco, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology, CA,38,1,1,0
Business Data Analyst,79-131 ,3.7,"Peoria, IL",10000+ employees,Company - Public,Industrial Manufacturing,Manufacturing, IL,95,0,0,1
Purification Scientist,79-131 ,4.9,"Ipswich, MA",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,46,0,0,0
Data Analyst,79-131 ,3.4,"Carmel, IN",1001 to 5000 employees,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance, IN,19,1,0,1
"Data Engineer, Enterprise Analytics",79-131 ,3.1,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance, NY,27,1,0,0
Data Scientist,79-131 ,3.5,"Washington, DC",1001 to 5000 employees,Company - Private,Internet,Information Technology, DC,1,1,1,0
Data Scientist,79-131 ,2.9,"New York, NY",201 to 500 employees,Company - Private,Insurance Carriers,Insurance, NY,35,1,0,0
Data Scientist 3 (718),79-131 ,3.3,"Emeryville, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,17,1,0,0
"Real World Science, Data Scientist",79-131 ,4,"Gaithersburg, MD",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,107,1,0,0
Data Scientist,79-131 ,3.6,"Washington, DC",51 to 200 employees,Company - Private,IT Services,Information Technology, DC,19,0,0,0
Data Engineer,79-131 ,4.7,"Saint Louis, MO",51 to 200 employees,Company - Private,Consulting,Business Services, MO,24,0,1,0
Data Scientist - Image and Video Analytics,79-131 ,4.9,"Longmont, CO",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services, CO,4,1,1,0
Data Scientist,79-131 ,4.3,"Austin, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, TX,21,1,1,0
"Data Science Manager, Payment Acceptance - USA",79-131 ,4,"San Francisco, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology, CA,10,1,0,0
